input,output,type,expected_answer,generated_answer,difficulty,source_examples,timestamp,verification_status,solution,extracted_expression,explanation,all_options
Квадратні рівняння,"На фермі мешкає 5 корів і 3 свині. Всі тварини разом важать 520 кг. 
Одна корова важить на 100 кг більше, ніж одна свиня. Скільки важить одна корова?



## РОЗВЯЗАННЯ:

1. **Нехай x - це вага однієї свині.**

2. **Вага однієї корови дорівнює x + 100 кг.**

3. **Загальна вага 5 корів:** 5(x + 100) = 5x + 500 кг

4. **Загальна вага 3 свиней:** 3x 

5. **Сума ваги всіх тварин:** 5x + 500 + 3x = 520

6. **Зводимо подібні члени:** 8x + 500 = 520

7. **Віднімаємо 500 з обох сторін рівняння:** 8x = 20

8. **Ділимо обидві сторони на 8:** x = 2.5

9. **Вага однієї корови:** 2.5 + 100 = 102.5 кг



## ВІДПОВІДЬ:

Одна корова важить 102.5 кг.",task,5,Одна корова важить 102.5 кг.,easy,"['09-algebra-pidruchnyky-i-posibnyky.pdf', 'algebra-10-klas.pdf', '7kl_Algebra_2024.pdf']",2025-12-23T15:50:42.071247,verified,,5,,
Квадратні рівняння,"На стадіоні збудували два сектори для глядачів: один у формі кола з радіусом 10 метрів, інший — у формі півкола з радіусом 8 метрів. Число глядачів у секторі у формі кола вдвічі перевищує число глядачів у секторі у формі півкола. Якщо загальна кількість глядачів на стадіоні дорівнює 2500 особям, скільки глядачів було у кожному секторі?

##",task,833,"* У секторі у формі півкола було приблизно 833 глядачі.
* У секторі у формі кола було приблизно 1667 глядачів.",medium,"['09-algebra-pidruchnyky-i-posibnyky.pdf', 'algebra-10-klas.pdf', '7kl_Algebra_2024.pdf']",2025-12-23T15:51:25.271673,verified,"1. **Обчислимо площу кожного сектора:**
   - Площа кола: S<sub>коло</sub> = πr<sup>2</sup> = π * 10<sup>2</sup> = 100π м<sup>2</sup>
   - Площа півкола: S<sub>півколо</sub> = (πr<sup>2</sup>) / 2 = (π * 8<sup>2</sup>) / 2 = 32π м<sup>2</sup>

2. **Позначимо кількість глядачів у кожному секторі:**
   - Нехай x - кількість глядачів у секторі у формі півкола.
   - Тоді 2x - кількість глядачів у секторі у формі кола.

3. **Утворимо рівняння:**
   - Загальна кількість глядачів: x + 2x = 2500

4. **Розв'яжемо рівняння:**
   - 3x = 2500
   - x = 2500 / 3 ≈ 833.33

5. **Знайдемо кількість глядачів у кожному секторі:**
   - У секторі у формі півкола: x = 833.33
   - У секторі у формі кола: 2x = 2 * 833.33 = 1666.66


##",833,,
Квадратні рівняння,"У фінансовому секторі Україна активно розвиває електронні платформи для інвестування. На одній з таких платформ є інвестиційний продукт, який пропонує фіксований дохід. Інвестор може обрати між двома варіантами інвестицій:

* **Варіант 1:** Завдяки своєчасній реінвестуванню отриманого доходу, вклад зростає згідно з формулою **S = 1000(1 + 0.03)^n**, де S – сума за n періодів, а n – кількість періодів.

* **Варіант 2:** Інвестиція здійснюється в пайову цінну папір, яка характеризується зростанням вартості за формулою **P = 800 + 50n**.  

**Питання:** 

1.  Через який період часу сума за першим варіантом інвестування перевищить суму за другим варіантом?
2.  Яка буде сума інвестиції за першим варіантом у цей момент?

##",task,5,"**

1.  Через 6 періодів часу сума за першим варіантом інвестування перевищить суму за другим варіантом.
2.  У цей момент сума інвестиції за першим варіантом складе 1194.05 грн.



**Примітки:**

*  Використання графічного метода допоможе точніше визначити період, коли S > P, та візуалізувати залежність суми інвестицій від кількості періодів.
*  Використовуючи більш складні математичні методи (наприклад, розв'язуючи нерівність S > P), можна отримати точну відповідь на перше питання.",hard,"['09-algebra-pidruchnyky-i-posibnyky.pdf', 'algebra-10-klas.pdf', '7kl_Algebra_2024.pdf']",2025-12-23T15:52:21.647893,verified,"**1.  Знайдемо момент, коли S > P:**

1000(1 + 0.03)^n > 800 + 50n

Для зручності обчислимо значення  (1 + 0.03)^n для різних значень n. 

* n = 1: 1.03^1 = 1.03 
* n = 2: 1.03^2 = 1.0609
* n = 3: 1.03^3 = 1.0927
* ...

Потрібно знайти таке n, при якому S перевищить P. Для цього можна скористатися методом спроб та помилок, або побудувати графіки функцій S(n) та P(n) та знайти точку перетину.

**2.  Після того як знайдемо n, підставимо його в формулу S(n) для обчислення суми інвестиції за першим варіантом:**

S = 1000(1 + 0.03)^n

**",05,,
Квадратні рівняння,"Яку з наведених систем рівнянь можна побудувати на основі віршованої задачі про площі двох квадратів?
A) * x + y = 136
  * x * y = 25
B) * x^2 + y^2 = 136
  * y = x + 5
C) * x + 5 = y
  * x^2 + y^2 = 136
D) * x^2 = y
  * x + 5 = y
",quiz,"C) * x + 5 = y
  * x^2 + y^2 = 136","* x + 5 = y
  * x^2 + y^2 = 136",easy,[],2025-12-23T15:52:32.566566,quiz,,,"Правильна відповідь - **C).** 

*  **x + 5 = y** відображає інформацію про те, що сторона другого квадрату дорівнює стороні першого квадрату плюс 5.
*  **x^2 + y^2 = 136** відображає факт, що сума площ двох квадратів дорівнює 136.

Інші варіанти неправильні через різні формулювання рівнянь.  Варіант A не враховує зв'язок між сторонами квадратів, варіант B  помилково використовує рівняння суми координат, а варіант D не відображає суму площ квадратів.","['* x + y = 136\n  * x * y = 25', '* x^2 + y^2 = 136\n  * y = x + 5', '* x + 5 = y\n  * x^2 + y^2 = 136', '* x^2 = y\n  * x + 5 = y']"
Квадратні рівняння,"У давньовавилонській задачі про площі двох квадратів,  що  сума їх площ дорівнює  ..., а сторона другого квадрата дорівнює від сторони першого квадрата ще 5, які змінні у системі рівнянь цього завдання і що визначають сторони квадратів?
A) x, y, де x — сторона першого квадрата, y — сторона другого.
B) x, y, де x — сторона другого квадрата, y — сторона першого.
C) a, b, де a — сторона першого квадрата, b — сторона другого.
D) a, b, де a — сторона другого квадрата, b — сторона першого.
",quiz,"A) x, y, де x — сторона першого квадрата, y — сторона другого.","x, y, де x — сторона першого квадрата, y — сторона другого.",medium,[],2025-12-23T15:52:39.957131,quiz,,,"У задачі йдеться про два квадрати, тому два змінні є логічним вибором.  Варіант A чітко вказує на сторони першого та другого квадратів, що відповідає змісту задачі.","['x, y, де x — сторона першого квадрата, y — сторона другого.', 'x, y, де x — сторона другого квадрата, y — сторона першого.', 'a, b, де a — сторона першого квадрата, b — сторона другого.', 'a, b, де a — сторона другого квадрата, b — сторона першого.']"
Теорема Піфагора,"На малюнку зображено прямокутний трикутник ABC. Відомо, що сторона AB = 7 см, а сторона BC = 24 см. Яка довжина гіпотенузи AC?

[Вставте малюнок прямокутного трикутника з позначенням сторін AB, BC та AC]

##",task,25,Довжина гіпотенузи AC дорівнює 25 см.,easy,"['merzlyak-ag-algebra-i-pochatky-analizu-prof-riven-10-kl.pdf', 'gymnasia-merzlyak-geometry-9-klas-poglyb.pdf', 'merzlyak-ag-algebra-i-pochatky-analizu-prof-riven-10-kl.pdf']",2025-12-23T15:52:51.841979,verified,"У цьому випадку, щоб знайти довжину гіпотенузи (AC), ми можемо використати теорему Піфагора. 

**Теорема Піфагора** стверджує, що в прямокутному трикутнику квадрат гіпотенузи дорівнює сумі квадратів катетів. 

В математичних позначеннях це виглядає так:  **a² + b² = c²**, де:

* **a** та **b**  — довжини катетів,
* **c** — довжина гіпотенузи.

У нашому випадку:

* **a** = AB = 7 см
* **b** = BC = 24 см
* **c** — це те, що ми хочемо знайти (довжина AC)

Підставимо ці значення в формулу теореми Піфагора:

7² + 24² = c²

Розрахуємо:

49 + 576 = c²

625 = c²

Щоб знайти **c**, потрібно з кожного боку рівняння знайти кореневий квадрат:

√625 = √(c²)

25 = c

##",25,,
Теорема Піфагора,"На болоті ростуть два види очерету: високий та низький. Високий очерет сягає 2 метри, а низький не перевищує 1 метр заввишки. Біля краю болота заросли різні види очерету, утворюючи трикутник. Висота трикутника, яка вимірюється від вершини до основи, становить 1.5 метра.  Одна з основ трикутника, на якій росте низький очерет, має довжину 2 метри. З'ясуй, яка довжина другої основи трикутника, де росте високий очерет.

##",task,5,"Довжина другої основи трикутника, де росте високий очерет, становить 2.5 метри.",medium,"['merzlyak-ag-algebra-i-pochatky-analizu-prof-riven-10-kl.pdf', 'gymnasia-merzlyak-geometry-9-klas-poglyb.pdf', 'merzlyak-ag-algebra-i-pochatky-analizu-prof-riven-10-kl.pdf']",2025-12-23T15:53:21.918634,verified,"1. **Схематичне зображення:** Спочатку намалюємо схему трикутника. Нехай вершина трикутника, де вимірюється висота, позначена як A.  Основа, де росте низький очерет, позначимо як BC, а довжина її 2 метри. Другу основу, де росте високий очерет, позначимо як AC, довжину якої потрібно знайти. Висота проведена від вершини A до основи BC, її довжина 1.5 метри.

2. **Використання теореми Піфагора:** Завдання можна розв'язати, використовуючи теорему Піфагора.  Теорема стверджує, що в прямокутному трикутнику квадрат гіпотенузи (найдовшої сторони) дорівнює сумі квадратів двох інших сторін (катетів).  У нашому випадку, висота (1.5 метри) є катетом, а друга сторона (AC) - гіпотенуза. 

3. **Розв'язуємо рівняння:** 
   * AC² = AB² + BC²
   * AC² = 1.5² + 2²
   * AC² = 2.25 + 4
   * AC² = 6.25
   * AC = √6.25
   * AC = 2.5 метри

##",5,,
Теорема Піфагора,"На гірничому підприємстві, де видобувається кобальт, планується будівництво нових підземних шахт. Для визначення найкращого розташування нових шахт геологи використовують топографічні дані. 

З'ясувалося, що відстань від майбутньої шахта до існуючої шахти А становить 120 метрів, а відстань до іншої існуючої шахти Б – 80 метрів. кут між напрямками від існуючої шахти А до нових шахт та від існуючої шахти Б до нових шахт дорівнює 110 градусів.

Визначте:

1. **Геометричну відстань між існуючими шахтами А та Б.**
2. **Площу трикутника, який утворюють три шахти.**

##",task,52,"1. Відстань між шахтами А та Б: приблизно 165.52 метрів.
2. Площа три",hard,"['merzlyak-ag-algebra-i-pochatky-analizu-prof-riven-10-kl.pdf', 'gymnasia-merzlyak-geometry-9-klas-poglyb.pdf', 'merzlyak-ag-algebra-i-pochatky-analizu-prof-riven-10-kl.pdf']",2025-12-23T15:54:07.259599,verified,"Для розв'язання задачі ми можемо використовувати теорему косинусів та формулу для обчислення площі трикутника за його сторонами.

**1. Відстань між шахтами А та Б:**

* Нехай відстань між шахтами А та Б позначимо як c.
* Відстань від шахта А до нових шахт буде a = 120 метрів.
* Відстань від шахта Б до нових шахт буде b = 80 метрів.
* Кут між напрямками від шахти А та Б до нових шахт буде α = 110 градусів.

За теоремою косинусів:

c² = a² + b² - 2ab * cosα

Підставляємо значення:

c² = 120² + 80² - 2 * 120 * 80 * cos(110°)

c² = 14400 + 6400 - 19200 * (-0.34)

c² = 20800 + 6600

c² = 27400

c = √27400 ≈ 165.52 метрів

**Отже, геометрична відстань між існуючими шахтами А та Б становить приблизно 165.52 метрів.**

**2. Площа трикутника:**

* Площа трикутника можна обчислити за формулою:

S = (ab * sinC) / 2

* де a, b - сторони трикутника, C - кут між сторонами a та b.

* у нашому випадку a = 120 м, b = 80 м, C = 180° - 110° = 70°.

Вираховуємо площу:

S = (120 * 80 * sin(70°)) / 2

S = (9600 * 0.94) / 2

S ≈ 4512 м²

**Отже, площа трикутника, який утворюють три шахти, становить приблизно 4512 квадратних метрів.**



##",52,,
Теорема Піфагора,"Яка з наведених тверджень є оберненою теоремою Піфагора?
A) Якщо в прямокутному трикутнику довжина гіпотенузи дорівнює сумі довжин катетів, то цей трикутник прямокутний.
B) Якщо в трикутнику довжина сторони, протилежної прямому куту, дорівнює квадрату суми довжин інших двох сторін, то цей трикутник прямокутний.
C) Якщо в трикутнику довжина сторони, протилежної прямому куту, більша за суму довжин двох інших сторін, то цей трикутник прямокутний.
D) Якщо в трикутнику два кути менші за 90 градусів, то  довжина сторони, протилежної прямому куту, менша за суму довжин інших двох сторін.
",quiz,"A) Якщо в прямокутному трикутнику довжина гіпотенузи дорівнює сумі довжин катетів, то цей трикутник прямокутний.","Якщо в прямокутному трикутнику довжина гіпотенузи дорівнює сумі довжин катетів, то цей трикутник прямокутний.",easy,[],2025-12-23T15:54:17.369323,quiz,,,"Теорема Піфагора описує стосунок між сторонами прямокутного трикутника. Її обернене твердження стверджує, що якщо в трикутнику виконується рівність c² = a² + b², то він є прямокутним.  Варіант B є прямим перефразом цього оберненого твердження.","['Якщо в прямокутному трикутнику довжина гіпотенузи дорівнює сумі довжин катетів, то цей трикутник прямокутний.', 'Якщо в трикутнику довжина сторони, протилежної прямому куту, дорівнює квадрату суми довжин інших двох сторін, то цей трикутник прямокутний.', 'Якщо в трикутнику довжина сторони, протилежної прямому куту, більша за суму довжин двох інших сторін, то цей трикутник прямокутний.', 'Якщо в трикутнику два кути менші за 90 градусів, то  довжина сторони, протилежної прямому куту, менша за суму довжин інших двох сторін.']"
Теорема Піфагора,"Яка вірно формулювання теореми Піфагора?
A) Якщо в трикутнику a + b = c, то цей трикутник прямокутний.
B) Якщо в трикутнику a² + b² = c², то цей трикутник прямокутний.
C) Якщо в трикутнику a² - b² = c², то цей трикутник прямокутний.
D) Якщо в трикутнику a² + b² > c², то цей трикутник прямокутний.
",quiz,"B) Якщо в трикутнику a² + b² = c², то цей трикутник прямокутний.","Якщо в трикутнику a² + b² = c², то цей трикутник прямокутний.",medium,[],2025-12-23T15:54:23.249697,quiz,,,"Більше деталі в тексті: 
** Теорема Піфагора стверджує, що в прямокутному трикутнику квадрат гіпотенузи дорівнює сумі квадратів катетів.**","['Якщо в трикутнику a + b = c, то цей трикутник прямокутний.', 'Якщо в трикутнику a² + b² = c², то цей трикутник прямокутний.', 'Якщо в трикутнику a² - b² = c², то цей трикутник прямокутний.', 'Якщо в трикутнику a² + b² > c², то цей трикутник прямокутний.']"
